P_raw,DO_raw,interaction_shap_value
54.1,0.8,-0.23109925
17.7,9.36,-0.18432611
60.8,3.6,-0.2289828
59.6,2.3,-0.1551789
60.7,4.2,-0.33388
49.5,4.6,-0.029265733
17.1,0.9,0.008227468
18.8,6.2,0.0517146
16.7,1.9,0.019630194
17.3,8.44,-0.4626627
22.4,7.0,-1.9058566
15.8,7.7,-0.48348308
17.9,7.9,-0.33507997
16.0,9.9,-0.7553842
63.2,5.9,-0.2281599
27.8,10.64,-0.34958506
17.6,4.0,0.0739975
49.1,4.2,0.26848662
16.4,10.4,-0.006537676
22.0,8.96,-0.33274382
21.3,9.23,-0.5728682
37.8,6.0,0.074320555
59.9,2.8,-0.37391585
58.9,3.9,-0.19658744
20.3,8.76,-0.36226618
60.1,5.8,0.053049088
59.1,1.7,-0.20475888
8.2,11.2,0.2787218
14.1,11.2,0.2880144
21.4,6.1,0.06748617
59.5,4.9,-0.32423586
59.4,5.5,-0.22412136
21.7,8.77,-0.38813215
23.3,9.48,-0.6108956
17.4,11.5,0.6149373
16.5,6.4,-0.066227674
29.9,4.1,0.35603493
35.9,8.7,-0.21954119
16.3,9.0,-0.6456595
19.7,3.9,0.12463063
38.5,3.8,0.40650386
69.7,4.9,-0.38196713
37.7,11.13,0.36170387
56.4,6.4,-0.25307187
67.7,1.0,-0.59859806
49.4,5.4,-0.11268395
65.3,3.4,-0.38283712
17.1,2.5,0.06154287
20.8,0.0,0.21485364
18.4,7.5,-0.9479917
58.8,4.7,-0.3100867
18.4,9.25,-0.15935844
18.7,7.4,-0.43034565
20.2,7.7,-0.8346503
38.1,6.3,0.05478543
17.5,9.75,-0.33246106
49.4,3.8,0.18134803
19.0,2.8,0.098569155
19.0,9.18,-0.36491656
49.4,6.3,0.055943295
21.5,6.7,0.09002447
38.5,12.65,-1.6455226
60.4,5.0,-0.34190893
19.2,1.4,0.040312886
17.3,9.1,-0.3961696
20.0,2.0,0.2286979
34.7,10.38,-0.41084933
48.9,6.7,0.02760452
19.0,6.6,0.039933264
38.5,5.5,0.14295247
49.3,4.3,0.31610158
15.8,10.4,0.1407609
19.8,6.4,0.057368755
59.6,0.4,-0.17665815
63.3,1.5,-0.27051783
20.7,4.2,0.21106946
38.2,7.0,-0.26134598
19.1,0.8,0.09468269
11.5,10.8,0.21430564
17.7,10.4,0.6068754
61.2,4.4,-0.56430733
17.0,4.2,0.010400534
65.2,4.9,-0.51994944
58.6,8.8,0.24299121
59.9,4.8,-0.55209637
56.7,2.5,-0.2942809
49.1,4.6,0.2723065
62.9,8.0,0.19176328
38.5,2.7,0.39008236
16.0,4.9,0.105587244
18.7,4.1,0.07571453
20.5,5.76,0.15712595
68.2,7.2,0.78851163
16.0,3.5,0.10945642
58.9,4.0,-0.14739859
35.4,8.3,-0.32822257
13.5,5.3,-0.08348441
16.1,5.0,0.100111485
49.5,5.5,-0.3674065
17.1,10.8,-0.16609573
23.7,1.7,0.15124631
60.4,5.3,-0.13766241
49.2,3.4,0.28620338
17.2,7.1,-0.48769656
18.8,2.5,0.1520971
58.9,6.8,-0.28609872
62.5,7.2,0.18795335
58.6,5.6,-0.17719272
21.5,11.06,0.19174623
49.1,4.7,0.14363784
60.3,3.8,-0.7177237
17.6,9.26,-0.2763012
16.4,5.8,0.06925511
17.3,8.0,-0.5307071
18.5,8.25,-0.46868372
49.6,3.0,-0.12877947
17.0,10.7,-0.17902923
17.8,6.4,0.015649915
17.3,8.65,-0.47102797
18.7,8.71,-0.45591915
59.4,6.4,-0.31132796
49.6,5.5,-0.19181675
49.0,4.5,0.04360664
59.4,5.9,-0.36815608
21.6,9.03,-0.31602257
28.6,8.25,-0.35052276
20.8,3.7,0.20002586
60.2,5.6,-0.38192248
