CODo_raw,COD2i_raw,interaction_shap_value
664.6,1509.0,3.4235668
151.0,402.0,6.4095664
187.0,806.0,3.0575676
206.0,364.0,7.313629
261.0,1259.0,-1.2245288
231.0,452.0,4.0540724
230.0,360.0,4.3356724
601.0,1369.0,1.947401
618.0,2278.0,-0.7630825
225.0,533.0,3.158441
640.0,2236.0,-0.7011051
667.0,1557.0,5.0731735
199.0,340.0,7.6898317
537.0,4696.0,1.3020363
200.0,473.0,2.9708261
221.0,407.0,7.4786167
628.0,1570.4,1.1879406
219.0,426.0,5.271734
98.0,740.0,3.6220255
505.0,2220.0,-1.2121983
521.28,1902.0,-1.0437126
188.0,850.0,2.6935153
478.0,2611.0,3.3881035
234.0,1491.0,-0.3992777
160.0,465.0,3.383656
411.0,1572.0,0.6624756
398.0,1356.0,-0.045370102
247.0,418.0,5.2749805
229.0,380.0,5.545989
195.0,460.0,3.2587156
231.0,512.0,3.127707
413.0,2855.0,3.1489277
180.0,480.0,3.55613
147.0,682.0,3.4913645
510.0,1563.0,-0.83036804
514.39,1982.0,-1.2717934
180.0,375.0,7.353861
513.0,2009.0,-1.621664
511.0,2244.0,0.6465149
229.0,405.0,5.2523003
224.0,411.0,7.4874
195.0,680.0,2.762352
78.0,326.0,4.6881857
414.0,1499.0,0.35865784
235.0,425.0,5.2678375
288.0,2975.0,-1.6592703
260.0,198.0,7.337119
288.0,1260.0,-1.7818508
172.0,468.0,2.8098812
185.0,307.0,5.4626427
222.0,438.0,4.054976
211.0,516.0,3.203239
489.0,1405.0,-0.15651703
170.0,514.0,2.611699
208.0,340.0,5.4659815
231.0,476.0,3.776154
528.0,2316.0,0.49210167
184.0,362.0,7.402422
128.0,280.0,5.3580923
162.0,375.0,6.7680645
200.0,391.0,7.1724453
277.0,1347.0,-1.6371069
220.0,550.0,3.5808883
185.0,515.0,2.9846559
499.0,2675.0,1.9433136
655.0,2103.0,0.34121323
240.0,1275.0,-0.84518147
215.0,427.0,5.2541895
182.0,361.0,7.402364
621.0,2541.0,-0.44000435
632.0,3215.0,0.49369812
556.0,2506.0,1.3882885
220.0,524.0,2.922678
684.0,1581.0,5.553911
129.0,350.0,6.443965
538.0,1666.0,0.3968563
196.0,475.0,3.4282498
199.0,480.0,3.3818402
629.0,1833.0,0.2264309
178.0,633.0,2.7396708
216.0,348.0,7.5130463
265.0,422.0,7.4800825
477.0,2877.0,1.507967
424.0,1624.0,0.74495125
270.0,499.0,2.7183328
76.0,360.0,4.3300076
268.0,447.0,4.2184887
632.21,1953.0,1.446867
274.0,584.0,2.8952956
291.0,357.0,7.985504
554.0,1465.0,2.0929031
235.0,496.0,3.733686
232.0,510.0,3.0977669
246.0,402.0,7.6340933
180.0,350.0,7.3008666
229.0,422.0,7.393475
175.0,380.0,7.3205194
230.0,420.0,7.4160814
496.0,3508.0,2.1348743
242.0,332.0,5.251361
244.0,410.0,5.21392
240.0,519.0,3.65938
556.0,2869.0,1.3265247
458.0,782.0,-6.6361675
237.0,395.0,7.4070425
142.0,472.0,3.2869086
241.0,348.0,4.335538
222.0,456.0,3.869111
295.0,3890.0,-1.217823
274.0,346.0,5.283288
248.0,242.0,7.5750704
578.47,1499.0,2.15493
