COD2i_raw,DO_raw,interaction_shap_value
510.0,10.45,-0.31957293
400.0,11.2,-0.43682456
475.0,9.8,-0.5584903
338.0,5.1,0.30295163
2420.0,3.5,-0.42607677
2749.0,7.6,-1.2137944
538.0,1.98,-0.36774182
436.0,11.64,-0.7424035
2012.0,5.0,-0.64213395
2523.0,2.5,0.69073915
324.0,7.0,0.16852611
560.0,1.82,-0.3082199
420.0,10.5,-0.44622135
392.0,5.7,0.24228108
355.0,8.7,0.33956695
1808.0,4.4,-0.19657409
351.0,2.9,0.024117172
2163.0,5.5,-0.6175445
397.0,6.2,0.00067177415
434.0,5.5,0.18799078
601.0,0.87,-0.32586384
291.0,7.9,0.36823106
1437.0,7.4,0.08182776
513.0,10.5,-0.5943322
1324.0,0.0,-0.085041404
362.0,5.8,0.16536444
2236.0,3.5,-0.48745155
1424.0,8.7,0.013658226
578.0,10.95,-0.8349204
372.0,8.3,0.24393928
273.0,6.8,-0.005796239
475.0,7.88,0.47458005
1980.0,4.0,-0.6871162
1324.0,3.2,0.27943653
581.0,7.5,0.38880175
482.0,9.29,0.24302685
411.0,8.9,0.28158474
587.0,5.0,0.31181014
3126.0,5.9,-0.5910623
1401.0,6.2,-0.17563076
2030.0,6.3,-0.5217605
440.0,6.6,0.21036708
350.0,7.4,-0.031650305
411.0,8.83,0.34886622
980.0,11.66,-1.043076
391.0,6.3,0.010381341
1347.0,3.5,0.305021
3548.0,0.4,1.3368764
333.0,7.3,0.44995046
472.0,6.6,0.22986156
1862.0,0.6,0.22765821
1569.0,2.1,0.7495242
421.0,11.62,-0.57992935
411.0,8.9,0.24465394
531.0,6.2,0.34335393
380.0,5.6,0.24494135
412.0,2.9,0.042814434
377.0,10.74,-0.26144218
473.0,3.1,0.07063466
530.0,9.2,0.18356752
491.0,8.91,0.27309322
661.0,5.0,0.20055512
2315.0,5.3,-0.35113943
1487.0,0.8,0.31809366
485.0,9.36,0.24301267
1660.0,3.6,-0.41813666
1421.0,2.3,-0.5689016
2219.0,4.2,-0.5030452
2017.0,4.6,-0.1950026
320.0,0.9,-0.46163195
469.0,6.2,0.29040682
453.0,1.9,-0.43159056
490.0,8.44,0.3305832
1830.0,7.0,-0.58567595
528.0,7.7,0.32988656
340.0,7.9,0.20457709
476.0,9.9,-0.55849004
415.0,5.9,0.010381281
505.0,10.64,-0.44605637
294.0,4.0,0.12668097
2576.0,4.2,-0.0538885
473.0,10.4,-0.5771625
460.0,8.96,0.28307426
573.0,9.23,0.18426172
448.0,6.0,0.27458954
257.0,2.8,-0.34492362
380.0,3.9,0.10596049
1228.0,8.76,0.4592929
3214.0,5.8,-0.64152
375.0,1.7,-0.3139298
264.0,11.2,-0.42947364
350.0,11.2,-0.48426557
1038.0,6.1,0.45326233
564.0,4.9,0.17225248
295.0,5.5,0.21453309
329.0,8.77,0.27266425
453.0,9.48,0.119276464
510.0,11.5,-0.54689026
