NH3N2i_raw,DO_raw,interaction_shap_value
178.2,6.3,0.007640764
255.0,6.7,0.0048644785
183.0,12.65,-0.0076383203
151.0,5.0,0.0019023614
234.0,1.4,-0.01236425
174.0,9.1,0.00026384182
323.0,2.0,-0.0045038275
168.0,10.38,-0.0052037984
164.0,6.7,0.00024867244
293.0,6.6,0.0031414963
156.0,5.5,0.00062339194
156.3,4.3,-0.0018067063
285.0,10.4,0.014974246
243.0,6.4,0.004828103
97.0,0.4,0.015206888
154.6,1.5,0.007931426
266.0,4.2,-0.0064432304
107.0,7.0,0.0007280875
335.0,0.8,-0.006887138
168.0,10.8,-0.0070868246
306.0,10.4,0.009271067
232.0,4.4,-0.0019992008
203.0,4.2,5.512871e-05
118.0,4.9,0.0026599169
142.0,8.8,-0.0034745429
126.0,4.8,0.0009429462
166.0,2.5,0.0005537998
141.7,4.6,-0.0015529711
290.0,8.0,0.0046366584
161.4,2.7,0.002811307
198.0,4.9,0.0030175261
325.0,4.1,-0.004179213
371.0,5.76,0.002060447
149.0,7.2,-0.0026372
235.0,3.5,-0.0040145013
141.0,4.0,0.0033032252
238.0,8.3,0.00092101656
148.0,5.3,0.0035498952
265.0,5.0,-0.0052768076
142.0,5.5,-0.0063503534
