NH3NO_raw,DO_raw,interaction_shap_value
3.2,7.6,-0.0053305766
2.7,2.3,-0.0028104447
2.4,7.2,-0.0032437108
2.9,9.49,0.01882153
3.1,1.9,-0.0027890354
3.5,7.6,-0.004411163
4.2,6.2,0.0012295814
7.7,5.0,-0.0055502225
5.9,3.2,0.007649958
7.9,2.8,-0.0117064575
2.1,5.0,-0.0030252975
2.9,7.7,-0.003122544
4.3,6.0,0.0010633096
3.4,6.3,-0.0040839147
3.5,3.8,-0.0016833097
2.9,2.9,-0.0041105803
2.7,2.6,-0.0013954528
6.8,6.3,-0.004804087
4.3,2.04,0.0028021745
5.5,7.0,0.012396625
5.5,7.4,0.016858703
3.2,8.2,-0.0042657284
5.8,3.5,0.016994948
4.2,1.61,0.0020156465
3.2,6.1,-0.0036719204
1.5,10.5,0.018632583
2.2,10.95,0.016514756
3.4,5.6,-0.0039446647
5.8,6.3,0.00715567
3.9,5.2,0.003282573
7.7,2.5,-0.012486707
2.5,6.3,-0.0050293608
3.6,4.2,-0.00050956104
3.1,4.7,-0.0008594245
5.21,4.8,0.017268064
2.6,7.17,-0.006175669
2.8,7.85,-0.0061716614
8.9,7.3,0.0057675615
7.1,3.0,0.0014090165
4.4,8.38,0.0006745234
2.8,7.7,-0.0032353979
4.4,6.8,0.00023756083
3.1,6.1,-0.000102376565
10.6,10.8,0.065157965
2.5,9.3,0.018723272
3.8,12.71,-0.0075542107
3.2,4.9,-0.0038381629
4.6,6.5,0.005048571
4.0,5.7,0.0010980275
3.0,6.9,-0.003530548
2.2,7.9,-0.006472254
5.3,4.8,0.018367413
2.7,6.3,-0.005717788
1.5,10.5,0.019390397
3.1,3.2,0.00017153472
2.3,3.0,-0.0026159715
8.8,2.5,-0.020482752
8.2,2.9,-0.0014808802
3.8,3.5,0.0015513748
4.5,4.8,0.00034642313
9.5,1.4,-0.008833855
9.7,4.3,-0.012180397
1.6,10.3,0.018648468
2.8,7.9,-0.003155442
5.6,3.8,0.008939121
3.2,3.0,-0.0012386236
2.2,8.81,-0.0073957136
8.6,3.6,-0.004902033
5.4,9.02,-0.0573375
2.5,11.5,0.01820505
2.8,1.0,-0.0055733398
3.2,4.9,-0.0015988313
3.9,8.96,-0.011195563
2.9,4.6,-0.003638683
3.1,5.5,-0.004779121
3.5,8.2,-0.0039443662
3.6,7.6,-0.0053758454
4.5,6.3,0.0003037462
2.5,4.3,-0.004597662
3.2,6.7,-0.0050027687
3.4,6.8,-0.0043454035
6.2,4.5,0.0065788254
2.6,6.7,-0.0068281693
5.1,9.57,-0.05321166
4.3,8.95,-0.010899885
4.2,8.9,-0.011034809
7.5,4.2,0.005442571
4.8,9.17,-0.02716504
7.2,6.8,-0.017616427
11.4,7.6,0.048103444
9.5,1.4,-0.04381703
5.7,3.3,0.008711711
5.2,8.1,0.006904375
1.8,6.7,-0.0064775394
8.9,0.9,-0.0110106915
2.8,4.4,-0.0036745758
3.1,0.2,-0.004354872
4.8,3.77,0.010116486
2.6,4.1,-0.0015475899
6.6,9.14,-0.0029833615
1.5,10.2,0.01912447
4.1,1.9,0.00014705956
4.3,5.5,0.00057394337
3.5,1.3,-0.0009366572
5.9,3.7,0.014960168
4.8,4.3,0.00540338
3.1,6.5,-0.0022923257
2.8,10.48,0.019006573
5.2,6.3,0.0066456744
4.9,8.2,0.018584952
3.1,3.6,-0.0015259264
7.6,5.3,-0.007394929
7.7,6.5,0.00036980305
3.6,9.0,0.008458998
3.9,2.4,0.0045834742
5.0,4.87,0.018627746
1.5,5.3,-0.0023065703
4.3,5.3,0.00062652957
4.6,1.9,0.0075547546
5.5,4.7,0.007098
6.0,5.9,0.00504403
3.5,7.9,-0.004658645
4.9,2.9,0.010442931
4.6,8.2,0.005607063
3.2,3.8,-0.0024321638
5.1,8.94,-0.056873202
5.3,4.8,0.008015125
4.4,1.5,-4.144758e-05
5.6,5.5,0.0071897972
5.21,5.0,0.012765259
2.7,3.8,-0.0027126875
2.8,2.3,-0.0030574799
6.7,0.8,0.01492653
2.4,3.5,-0.0042623486
6.3,3.3,0.0076789595
3.8,3.9,0.00093355216
4.3,7.17,0.0012509115
1.7,8.7,-0.0069800355
3.9,7.9,0.00093671866
2.1,5.19,-0.0043648668
2.8,4.5,-0.0013033315
4.5,4.1,0.0012652874
2.1,3.7,-0.0025922516
9.8,3.8,0.03067556
5.0,10.57,-0.05318992
3.6,2.6,-0.0014574919
5.1,4.73,0.018155541
7.8,6.8,-0.0028037801
2.1,9.28,0.018196188
4.5,8.98,-0.011028308
3.3,8.6,-0.0056904876
5.8,0.0,0.034474667
3.3,5.6,-0.0046776645
1.3,8.2,-0.0056205625
5.8,8.8,0.008524495
3.5,3.1,0.0001521334
4.3,6.02,0.00067846756
3.2,5.0,-0.001915439
8.2,6.5,-0.019057434
5.2,9.5,-0.05347942
4.8,4.2,0.0038554445
3.8,7.7,0.0011168309
5.2,8.1,0.015987815
9.5,2.5,-0.03652124
2.9,10.84,0.0163332
7.6,10.7,0.040944267
11.5,5.1,0.024649788
5.3,7.3,0.00901923
2.4,8.81,-0.0070274686
3.8,4.9,0.00031010713
6.1,4.4,0.014633137
3.6,8.1,-0.004276488
6.1,4.4,0.012790525
1.9,4.5,-0.002724614
2.8,3.4,-0.0054258946
2.6,5.4,-0.004372467
4.0,4.8,0.0016808473
2.5,6.4,-0.007048703
3.1,2.9,0.0007819161
3.0,2.84,-0.0011645574
2.3,10.4,0.018509328
7.9,5.1,-0.0071806214
6.1,6.0,-0.0031732237
3.3,9.19,0.01228166
6.2,5.2,-0.0025479645
7.2,4.6,-0.004529137
5.6,7.6,0.016229693
3.6,5.8,-0.004112127
2.3,7.83,-0.006157182
1.8,11.1,0.0185422
2.1,4.1,-0.0025922498
2.6,0.0,-0.013217952
4.2,7.2,-0.0002905589
3.9,5.9,0.00028388295
3.9,4.7,0.00043269433
3.2,4.0,-0.0038183145
4.5,6.7,0.00087382086
3.7,6.5,-0.005163714
2.2,8.6,-0.0063812644
4.7,8.9,-0.010475358
2.2,6.0,-0.006661065
5.2,9.6,-0.05354753
3.9,6.6,0.0003944384
5.3,2.8,0.009763986
4.3,5.3,0.0021203067
3.7,3.3,-0.0020262655
2.0,5.8,-0.005303956
3.9,6.0,0.00075078756
6.1,3.1,0.015364727
2.4,3.9,-0.005342478
3.9,6.0,0.0013433099
6.7,4.2,0.0004690364
5.8,6.8,0.006403178
3.0,3.3,-0.00154729
3.9,6.9,0.0011168309
3.3,9.3,0.011843298
2.3,3.6,-0.0014251508
2.6,7.6,-0.0033498257
8.6,5.7,-0.0031703906
2.2,10.9,0.016514748
7.01,3.5,-0.00018686056
2.1,9.01,0.014666555
4.4,3.1,0.00019979104
2.6,5.9,-0.006711996
2.8,7.9,-0.0066724066
3.9,5.3,0.0007979716
