NH3NO_raw,NH3N2i_raw,interaction_shap_value
1.7,168.0,-0.0027386677
3.1,306.0,0.02063549
5.6,232.0,0.005873896
3.7,203.0,-0.0033047767
1.5,118.0,-0.0073374873
5.6,142.0,0.004611495
4.5,126.0,0.00907056
5.2,166.0,0.0024446761
3.0,141.7,-0.0030999817
1.5,290.0,0.033008017
3.7,161.4,0.0045413664
1.8,198.0,-0.0068291426
5.9,325.0,0.0075184256
4.2,371.0,0.008981798
4.5,149.0,0.001225261
3.5,235.0,0.012519669
3.7,141.0,0.0049708094
2.7,238.0,0.015521776
3.6,148.0,0.0051522385
2.6,265.0,0.019638056
2.3,142.0,-0.0074220723
2.0,168.0,-0.0029791277
3.1,227.0,-0.0032209456
6.0,260.0,-0.0060210973
2.7,108.5,-0.0021922626
