Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2021/12/3,493,0,0,1,0
2021/12/4,469,0,0,0,0
2021/12/5,426,0,0,0,0
2021/12/6,440,0,0,0,0
2021/12/7,466,0,0,0,0
2021/12/8,454,0,0,0,0
2021/12/9,505,0,0,0,0
2021/12/10,525,0,0,0,0
2021/12/11,510,0,0,0,0
2021/12/12,486,0,0,0,0
2021/12/13,475,0,0,0,0
2021/12/14,484,0,0,0,0
2021/12/15,460,0,0,0,0
2021/12/16,520,1,0,0,0
2021/12/17,516,0,0,0,0
2021/12/18,507,0,0,0,0
2021/12/19,496,0,0,0,0
2021/12/20,485,0,0,0,0
2021/12/21,453,0,0,1,0
2021/12/22,441,0,0,1,0
2021/12/23,457,0,0,1,0
2021/12/24,460,0,0,1,1
2021/12/25,550,1,0,0,0
2021/12/26,621,1,1,1,1
2021/12/27,586,0,0,1,0
2021/12/28,549,0,0,0,0
2021/12/29,535,0,0,0,0
2021/12/30,521,0,0,0,0
2021/12/31,505,0,0,0,0
2022/1/1,499,0,0,0,0
2022/1/2,485,0,0,0,0
2022/1/3,491,0,0,0,0
2022/1/4,503,0,0,0,0
2022/1/5,492,0,0,0,0
2022/1/6,512,0,0,0,0
2022/1/7,498,0,0,0,0
2022/1/8,509,0,0,0,0
2022/1/9,556,0,0,0,0
2022/1/10,602,0,0,1,0
2022/1/11,622,0,1,1,0
2022/1/12,588,0,0,1,0
2022/1/13,563,0,0,0,0
2022/1/14,574,0,0,0,0
2022/1/15,545,0,0,0,0
2022/1/16,569,0,0,0,0
2022/1/17,541,0,0,0,0
2022/1/18,580,0,0,0,0
2022/1/19,601,0,0,1,0
2022/1/20,586,0,0,0,0
2022/1/21,611,0,0,1,0
2022/1/22,577,0,0,0,0
2022/1/23,564,0,0,0,0
2022/1/24,556,0,0,0,0
2022/1/25,536,0,0,0,0
2022/1/26,499,0,0,0,0
2022/1/27,521,0,0,0,0
2022/1/28,515,0,0,0,0
2022/1/29,502,0,0,0,0
2022/1/30,512,0,0,0,0
2022/1/31,503,0,0,0,0
2022/2/1,490,0,0,0,0
2022/2/2,472,0,0,0,1
2022/2/3,498,1,0,0,0
2022/2/4,485,0,0,0,0
2022/2/5,477,0,0,0,0
2022/2/6,485,0,0,0,1
2022/2/7,451,0,0,0,0
2022/2/8,421,0,0,0,1
2022/2/9,419,0,0,0,0
2022/2/10,429,0,0,0,0
2022/2/11,431,0,0,0,0
2022/2/12,424,0,0,0,0
2022/2/13,428,0,0,0,0
2022/2/14,419,0,0,0,0
2022/2/15,412,0,0,0,0
2022/2/16,410,0,0,0,0
2022/2/17,402,0,0,0,0
2022/2/18,399,0,0,0,0
2022/2/19,406,0,0,0,0
2022/2/20,359,1,0,1,0
2022/2/21,346,0,0,1,0
2022/2/22,355,0,0,0,0
2022/2/23,364,0,0,0,0
2022/2/24,340,0,0,0,0
2022/2/25,347,0,0,0,0
2022/2/26,350,0,0,0,0
2022/2/27,387,1,1,0,0
2022/2/28,375,0,0,0,0
2022/3/1,367,0,0,0,0
2022/3/2,351,0,0,0,0
2022/3/3,361,0,0,0,0
2022/3/4,354,0,0,0,0
2022/3/5,345,0,0,0,0
2022/3/6,353,0,0,0,0
2022/3/7,345,0,0,0,0
2022/3/8,366,0,0,0,0
2022/3/9,352,0,0,0,0
2022/3/10,341,0,0,0,0
2022/3/11,351,0,0,0,0
2022/3/12,364,0,0,0,0
2022/3/13,349,0,0,0,0
2022/3/14,353,0,0,0,0
2022/3/15,360,0,0,0,0
2022/3/16,346,0,0,0,0
2022/3/17,339,0,0,0,0
2022/3/18,325,0,0,1,0
2022/3/19,334,0,0,0,0
2022/3/20,351,0,0,0,0
2022/3/21,342,0,0,0,0
2022/3/22,338,0,0,0,0
2022/3/23,356,0,0,0,0
2022/3/24,346,0,0,0,0
2022/3/25,362,0,0,0,0
2022/3/26,351,0,0,0,0
2022/3/27,374,0,0,0,0
2022/3/28,354,0,0,0,0
2022/3/29,344,0,0,0,0
2022/3/30,323,0,0,1,0
2022/3/31,346,0,0,0,0
2022/4/1,385,0,0,0,0
2022/4/2,374,0,0,0,0
2022/4/3,366,0,0,0,0
2022/4/4,378,0,0,0,0
2022/4/5,389,0,0,1,0
2022/4/6,331,0,0,1,0
2022/4/7,315,0,0,1,0
2022/4/8,365,1,0,0,0
2022/4/9,356,0,0,0,0
2022/4/10,370,0,0,0,0
2022/4/11,361,0,0,0,0
2022/4/12,344,0,0,0,0
2022/4/13,354,0,0,0,0
2022/4/14,339,0,0,0,0
2022/4/15,328,0,0,0,0
2022/4/16,385,1,1,1,0
2022/4/17,346,0,0,0,0
2022/4/18,334,0,0,0,0
2022/4/19,317,0,0,0,0
2022/4/20,321,0,0,0,0
2022/4/21,341,0,0,0,0
2022/4/22,366,0,1,1,1
2022/4/23,313,0,0,0,0
2022/4/24,320,0,0,0,0
2022/4/25,298,0,0,0,0
2022/4/26,305,0,0,0,0
2022/4/27,324,0,0,0,0
2022/4/28,303,0,0,0,0
2022/4/29,298,0,0,0,0
2022/4/30,338,0,0,0,0
2022/5/1,315,0,0,0,0
2022/5/2,295,0,0,0,0
2022/5/3,287,0,0,0,0
2022/5/4,301,0,0,0,0
2022/5/5,317,0,0,0,0
2022/5/6,304,0,0,0,0
2022/5/7,314,0,0,0,0
2022/5/8,287,0,0,0,0
2022/5/9,278,0,0,0,0
2022/5/10,286,0,0,0,0
2022/5/11,276,0,0,0,0
2022/5/12,282,0,0,0,0
2022/5/13,269,0,0,0,0
2022/5/14,294,0,0,0,0
2022/5/15,285,0,0,0,0
2022/5/16,256,0,0,0,0
2022/5/17,232,0,0,0,0
2022/5/18,222,0,0,0,0
2022/5/19,246,0,0,0,0
2022/5/20,249,0,0,0,0
2022/5/21,235,0,0,0,0
2022/5/22,248,0,0,0,0
2022/5/23,234,0,0,0,0
2022/5/24,210,0,0,0,0
2022/5/25,267,1,0,1,0
2022/5/26,235,0,0,0,0
2022/5/27,249,0,0,1,0
2022/5/28,227,0,0,0,0
2022/5/29,215,0,0,0,0
2022/5/30,163,0,0,1,0
2022/5/31,204,0,0,0,0
2022/6/1,152,0,0,1,0
2022/6/2,150,0,0,1,0
2022/6/3,155,0,0,0,0
2022/6/4,178,0,0,0,0
2022/6/5,185,0,0,0,0
2022/6/6,194,0,0,0,0
2022/6/7,163,0,0,0,0
2022/6/8,166,0,0,0,0
2022/6/9,172,0,0,0,0
2022/6/10,124,1,0,0,0
2022/6/11,150,0,0,0,0
2022/6/12,126,0,0,0,0
2022/6/13,138,0,0,0,0
2022/6/14,153,0,0,0,0
2022/6/15,159,0,0,0,0
2022/6/16,140,0,0,0,0
2022/6/17,152,0,0,1,0
2022/6/18,103,1,0,1,0
2022/6/19,124,0,0,0,0
2022/6/20,128,0,0,0,0
2022/6/21,135,0,0,0,0
2022/6/22,143,0,0,0,0
2022/6/23,145,0,0,0,0
2022/6/24,122,0,0,0,0
2022/6/25,136,0,0,0,0
2022/6/26,124,0,0,0,0
2022/6/27,145,0,0,0,0
2022/6/28,121,0,0,0,0
2022/6/29,130,0,0,0,0
2022/6/30,141,0,0,0,0
2022/7/1,126,0,0,0,0
2022/7/2,143,0,0,0,0
2022/7/3,139,0,0,0,0
2022/7/4,121,0,0,0,0
2022/7/5,135,0,0,0,0
2022/7/6,126,0,0,0,0
2022/7/7,134,0,0,0,0
2022/7/8,141,0,0,0,0
2022/7/9,125,0,0,0,0
2022/7/10,143,0,0,0,0
2022/7/11,161,0,0,0,0
2022/7/12,150,0,0,0,0
