,pH2i,pHO,pHMBR
879,8.7,8,8
880,8.7,8,8
881,8.5,8,8
882,8.6,8,8
883,8.5,8,8
884,8.3,8,8
885,8.5,7.9,7.9
886,8.5,7.9,7.9
887,8.5,7.9,7.9
888,8.5,7.8,7.8
889,8.6,7.8,7.8
890,8.3,7.8,7.8
891,8.5,7.8,7.8
892,8.4,7.8,7.8
893,8.5,7.8,7.8
894,8.2,7.8,7.8
895,8.4,7.8,7.8
896,8.6,7.4,7.4
897,8.9,7.3,7.3
898,8.7,7.3,7.3
899,8.7,7.2,7.1
900,8.9,7.1,7.1
901,8.9,7.1,7.1
902,8.9,7.1,7.1
903,8.7,7.1,7.1
904,8.7,7.1,7.1
905,8.5,6.9,6.9
906,8.6,6.5,6.2
907,8.4,6.2,6.1
908,8.3,7,7
909,7.9,6.5,6.3
910,8.9,6.3,6.2
911,8.5,6.5,6.5
912,8.5,6.6,6.6
913,8.6,6.8,6.7
914,8.3,6.9,6.9
915,8.5,7,7
916,8.8,7,7
917,8.6,6.6,6.6
918,8.7,6.5,6.5
919,8.7,6.6,6.6
920,8.5,6.6,6.6
921,8.7,6.5,6.5
922,8.6,6.5,6.5
923,8.5,6.5,6.5
924,8.2,6.5,6.5
925,8.7,6.6,6.5
926,8.6,6.6,6.6
927,8.6,6.8,6.8
928,8.6,6.8,6.8
929,8.1,6.8,6.8
930,8.8,6.8,6.8
931,8.6,6.8,6.8
932,8.3,6.8,6.8
933,8.5,6.8,6.8
934,8.2,6.9,6.9
935,8.5,6.9,6.9
936,8.6,7,7
937,8.7,7,7
938,8.6,7.1,7.1
939,8.5,7.1,7.1
940,8.3,7.2,7.2
941,8.2,7.2,7.2
942,8.5,7.2,7.2
943,8.6,7.4,7.4
944,8.6,7.4,7.4
945,8.7,7.4,7.4
946,8.5,7.4,7.4
947,8.3,7.4,7.4
948,8.4,7.4,7.4
949,8.2,7.4,7.4
950,8.5,7.3,7.3
951,8.5,7.4,7.4
952,8.4,7.5,7.5
953,8.6,7.5,7.5
954,8.3,7.5,7.5
955,8.4,7.5,7.5
956,8.6,6.5,6.5
957,8.5,6.9,6.9
958,8.6,6.9,6.9
959,8.5,7,7
960,8.5,7,7
961,8.6,7,7
962,8.7,7,7
963,8.5,7,7
964,8.4,7,7
965,8.5,6.9,6.9
966,8.7,6.9,6.9
967,8.7,7,7
968,8.6,7,7
969,8.5,7,7
970,8.3,7,7
971,8.5,7,7
972,8.3,7,7
973,8.3,6.9,6.9
974,8.2,6.9,6.9
