Date,CODMBR,rolling_median,raw_signed_dev
2023/2/5,127,2,-1
2023/2/6,118,2,-10
2023/2/7,121,1,-6
2023/2/8,129,1,2
2023/2/9,116,-1,-9
2023/2/10,132,-1,11
2023/2/11,125,-4,7
2023/2/12,131,-4,15
2023/2/13,81,-4,-35
2023/2/14,86,-1,-30
2023/2/15,95,2,-20
2023/2/16,107,-1,-8
2023/2/17,115,-1,8
2023/2/18,103,-1,-4
2023/2/19,106,-1,-1
2023/2/20,120,-1,13
2023/2/21,128,-1,21
2023/2/22,115,-1,8
2023/2/23,82,-1,-25
2023/2/24,97,-1,-9
2023/2/25,113,-4,10
2023/2/26,125,-1,19
2023/2/27,112,-4,4
2023/2/28,96,-4,-12
2023/3/1,89,-4,-19
2023/3/2,79,-4,-29
2023/3/3,96,-3,-15
2023/3/4,103,2,-9
2023/3/5,115,2,3
2023/3/6,108,2,-4
2023/3/7,114,-3,2
2023/3/8,111,2,-3
2023/3/9,133,3,18
2023/3/10,122,3,7
2023/3/11,129,3,14
2023/3/12,137,3,17
2023/3/13,124,2,4
2023/3/14,112,4,-10
2023/3/15,131,4,7
2023/3/16,145,7,16
2023/3/17,108,4,-16
2023/3/18,105,4,-19
2023/3/19,120,1,-4
2023/3/20,114,0,-10
2023/3/21,131,0,4
2023/3/22,147,0,20
2023/3/23,135,0,8
2023/3/24,113,-1,-13
2023/3/25,122,0,-5
2023/3/26,128,0,1
2023/3/27,127,0,0
2023/3/28,133,1,5
2023/3/29,126,0,-1
2023/3/30,135,0,8
2023/3/31,123,0,-4
2023/4/1,127,0,0
2023/4/2,135,0,8
2023/4/3,110,0,-16
2023/4/4,128,0,2
2023/4/5,115,0,-8
2023/4/6,122,0,0
2023/4/7,134,0,13
2023/4/8,121,0,0
2023/4/9,126,0,11
2023/4/10,114,0,0
2023/4/11,121,0,7
2023/4/12,96,0,-17
2023/4/13,113,0,3
2023/4/14,105,0,-5
2023/4/15,95,0,-15
2023/4/16,102,0,-5
2023/4/17,89,0,-18
2023/4/18,110,1,4
2023/4/19,98,0,-7
2023/4/20,105,0,0
2023/4/21,117,-2,12
2023/4/22,124,0,19
2023/4/23,107,0,2
2023/4/24,113,1,8
2023/4/25,106,1,1
2023/4/26,91,0,-14
2023/4/27,102,0,-3
2023/4/28,100,0,-2
2023/4/29,105,0,3
2023/4/30,96,-2,-6
2023/5/1,106,-2,4
2023/5/2,102,-2,0
2023/5/3,98,-2,-4
2023/5/4,96,-2,-9
2023/5/5,95,0,-10
2023/5/6,119,0,13
2023/5/7,105,0,-5
2023/5/8,121,0,3
2023/5/9,124,0,5
2023/5/10,121,0,0
2023/5/11,110,3,-11
2023/5/12,124,5,0
2023/5/13,118,5,-6
2023/5/14,157,3,33
2023/5/15,141,3,17
2023/5/16,155,0,31
2023/5/17,140,0,18
2023/5/18,138,5,14
2023/5/19,148,5,24
2023/5/20,107,5,-15
2023/5/21,113,5,-9
2023/5/22,100,0,-17
2023/5/23,117,0,0
2023/5/24,122,0,5
2023/5/25,124,0,7
2023/5/26,107,0,-10
2023/5/27,102,0,-15
2023/5/28,105,3,-17
2023/5/29,115,3,-7
2023/5/30,125,3,3
2023/5/31,131,3,9
2023/6/1,140,3,25
2023/6/2,135,0,27
2023/6/3,131,3,23
2023/6/4,128,3,16
2023/6/5,101,3,-11
2023/6/6,106,3,-2
2023/6/7,99,4,-7
2023/6/8,108,3,3
2023/6/9,101,0,0
2023/6/10,105,0,4
2023/6/11,112,0,13
2023/6/12,57,0,-33
2023/6/13,88,0,0
2023/6/14,90,0,5
2023/6/15,43,0,-28
2023/6/16,70,0,-1
2023/6/17,71,0,1
2023/6/18,50,-1,-11
2023/6/19,85,-7,28
2023/6/20,40,-1,-21
2023/6/21,54,-7,-7
2023/6/22,61,-7,2
2023/6/23,97,-7,36
2023/6/24,47,-7,-14
2023/6/25,45,-7,-16
2023/6/26,56,0,-7
2023/6/27,75,0,12
2023/6/28,63,2,-8
2023/6/29,59,2,-12
2023/6/30,78,0,7
2023/7/1,81,0,10
2023/7/2,71,0,0
2023/7/3,80,0,5
2023/7/4,85,3,10
2023/7/5,92,3,17
2023/7/6,59,4,-16
2023/7/7,66,4,-9
2023/7/8,75,3,0
2023/7/9,58,0,-16
2023/7/10,83,0,9
2023/7/11,74,0,3
2023/7/12,82,-2,11
2023/7/13,75,-2,4
2023/7/14,68,0,-3
2023/7/15,71,0,0
2023/7/16,64,-1,-7
2023/7/17,47,-1,-26
2023/7/18,71,-2,-2
2023/7/19,63,-2,-10
2023/7/20,73,-2,0
2023/7/21,82,-3,9
2023/7/22,68,-2,-5
2023/7/23,73,-2,-1
2023/7/24,74,-1,-5
2023/7/25,79,0,-3
2023/7/26,85,0,1
2023/7/27,89,1,4
2023/7/28,84,1,-5
2023/7/29,91,0,0
2023/7/30,108,0,17
2023/7/31,95,0,4
2023/8/1,93,0,1
2023/8/2,99,0,7
2023/8/3,101,0,8
2023/8/4,92,0,-3
2023/8/5,91,1,-5
2023/8/6,85,1,-11
2023/8/7,96,1,0
2023/8/8,96,1,0
2023/8/9,84,0,-12
2023/8/10,101,0,5
2023/8/11,105,-3,13
2023/8/12,97,0,2
2023/8/13,89,0,-6
2023/8/14,105,1,10
2023/8/15,102,1,11
2023/8/16,85,2,-6
2023/8/17,83,2,-8
2023/8/18,82,1,-7
2023/8/19,95,1,8
2023/8/20,87,0,1
2023/8/21,91,1,5
2023/8/22,86,0,1
2023/8/23,93,0,8
2023/8/24,83,0,0
